project,distribution,loc,scale
jthub_ega-file-transfer-to-collab-1-jtracker,norm,1497344971.6322536,981498.51765203
JacksonChen666_h,cauchy,1604886877.5448308,6868.830878627451
php_php-src,gamma,2.8522601712943736,887561549.7793348
racarr01_racarr01.github.io,powerlaw,0.8976553969513237,1534180478.9999995
supershell2019_conf,powerlaw,1.2517162664691002,1566753774.0136442
NRYAN15_241,expon,0.0,9277395.859820532
one-million-repo_biggest-repo-ever,uniform,1548597145.0,446183.0
user135711_jdownloaderClient,norm,1390396808.1115918,77191310.96863772
nhirata_gecko-dev,cauchy,1373517310.6045496,63556103.85184693
archlinuxcn_repo,powerlaw,2.7183217938154747,1362491061.8666892
Arshiamidos_84ck1N617,cauchy,1553493183.5431256,6705294.22094695
eea_Products.EEAContentTypes,cauchy,1330808560.2733026,32883816.166495703
pytorch_pytorch,norm,1552401277.1156552,44346243.18173786
oroinc_platform,rayleigh,1351023511.9578195,86528842.48279971
arangodb_arangodb,powerlaw,1.2620118563473377,1319608238.847269
lvotypko_javatest-report,norm,1248348345.2702296,37754733.211061046
macvim-dev_macvim,norm,1387379812.3968964,133595159.16663307
CartoDB_cartodb,norm,1437087317.2556434,64427755.545859575
luminousbeam_gitfiti-fun,cauchy,1543846177.3076248,1699655.8841597836
yiisoft_yii2,rayleigh,1298359929.726206,110454602.53362384
tmtmtmtm_pakistan-national-assembly,gamma,508.8800931857743,940484514.1062143
AurevoirXavier_HGC,chi2,1.0082867723078204,1574655389.9999995
kyle-barker_London,powerlaw,1.060888903068517,1490953306.7229452
dotnet_corefx,rayleigh,1394422357.6379137,97262121.96718563
bpeabody_mongo,powerlaw,0.6875371242408875,1483582178.9999995
danrue_oh_my_fortune,powerlaw,1.005208086128435,-112210.8389958743
OpenDataSpace_jlan,gamma,0.21260330679936368,-5.47122270480357e-21
gitlab.com_quicla_platform/packages/apps/Contacts,norm,1466225827.6824286,80603666.6079423
trattkantarell_src,norm,1082278837.0669987,135865115.94833028
usehotkey_counter,exponpow,0.9938662711265883,1510989861.9999995
5d2_images,cauchy,1598820191.4048734,610392.5446423126
nanoframework_ChibiOS-bkp,powerlaw,181496226.5793242,-3428669758098192.0
Ratcanal_Rafa,norm,1294603243.9603124,73993483.64840819
bewest_openaps-example,cauchy,1465000209.6926541,2281911.1770386817
fuglede_github-contributions-filler,cauchy,1459608843.2079704,363.7622377247771
myatt83_kuali-student,cauchy,1369051609.1380692,22222558.47551497
carolmanderson_academic-kickstart,norm,1566646899.9357271,32192402.324631557
jerry-jx_tikiwiki,cauchy,1289417551.567881,45847884.85070962
whfern_watchthis,exponpow,0.36595700624790184,1412184802.9999998
ghthor_insync,powerlaw,0.9233049463350829,1528766148.9911356
gitlab.freedesktop.org_xorg_xserver,gamma,514.4739018290938,-1869949881.6737623
cms-sw_cmssw,rayleigh,1118389923.086702,174252015.7362931
gem_oq-engine,powerlaw,1.2266442134019404,1279431589.338829
apache_tomcat,powerlaw,1.7140282097598267,964013269.1237898
duaneking_metrics,norm,3385969591.5363235,92763448.4896411
stevezg_weirdflexbutok,gamma,4.7962179364772055,748291003.0367447
openresty_lua-nginx-module,cauchy,1448751866.9169095,16058513.311142497
citp_privacy-policy-historical,norm,1377713490.1912868,133211987.83412068
anappwilos_AutoCommit,powerlaw,0.45414728516068914,1524220559.9999998
everypolitician-scrapers_belarus-house-of-representatives-2016,powerlaw,1.4422725778318837,1476108436.8472338
WebKit_webkit,cauchy,1323904640.4436266,65174387.49157475
gitlab.com_anonimal_monero,cauchy,1524707813.7349892,30504230.47080244
MoKee_android_packages_apps_Gallery2,gamma,68.57508193606708,731465485.9158583
hookzof_socks5_list,norm,1605535803.6398587,6513791.91235829
gentoo_sci,cauchy,1351059973.6832585,20373321.85352315
django_django,rayleigh,1094792377.1152663,194047749.86160865
highfidelity_hifi,gamma,335.67150113324044,363455066.1368917
eclipse_birt,cauchy,1524760582.0722873,87082.0585361056
szzd3_fq,rayleigh,1531019245.390325,10635713.704331791
MaybeNotWrong_lc-sep,cauchy,1557215004.462021,6753076.652598226
sbmlteam_sbml-test-suite,norm,1291895829.1750798,110390131.21254425
freenas_freenas,norm,1410090973.254121,115342841.29731202
avsm_ocaml-ci.logs,powerlaw,1.1562359018133241,1480850698.7899952
DOCGroup_ACE_TAO,norm,1079161275.1464956,154951475.99776322
alexandruchirita4192_MqlPersonal,expon,0.0,7339387.3490984505
learn-co-students_array-CRUD-lab-v-000,norm,1538295562.288411,28673244.101565585
breakingheatmap_breakingheatmap,powerlaw,1.0681209574253243,1594970759.5199847
urho3d_Urho3D,norm,1391813206.708436,128477768.92453414
miatribe_pipvpspy,powerlaw,0.8035395439838167,1435020130.9999998
gitlab.com_jedbrown_petsc,powerlaw,1.843596218607245,758877615.0927639
opencog_opencog,norm,1404395655.1544454,98088143.8233353
0xbzho_keybase,cauchy,1463952063.8411045,2127892.480957224
JetBrains_kotlin,cauchy,1507128379.4038804,35851812.116923094
django-oscar_django-oscar,rayleigh,1242787923.4269464,83690037.07885115
pombredanne_sf.net-brlcad,cauchy,1297179119.291506,130372853.99660057
joyent_pkgsrc-wip,powerlaw,0.8317622728478569,1048023271.9999971
it-projects-llc_addons-dev,powerlaw,3.89688294119583,1186237415.3059902
